Variable,N,Mean,SD,Min,Median,Max
log_wage,49366,13.47,0.618,11.339,13.459,15.425
wage_monthly,49366,861437.713,606250.085,84000,7e+05,5e+06
educ_years,49357,11.891,2.885,0,12,22
age,49366,39.439,9.087,25,39,60
experience,49366,21.544,10.022,0,21,54
sex,49366,1.498,0.5,1,1,2
urban,49366,1.321,0.467,1,1,2
hhsize,49366,4.029,1.555,1,4,16
