spec,gamma_star,beta_low,se_low,beta_high,se_high,diff,diff_se,diff_p
D1 full (extreme-included),41.099895,0.0587529682841472,0.0155083031020847,0.0506883045860929,0.0393065124407268,-0.00806466369805436,0.0488074406000757,0.868759562104113
D1 trimmed (p1-p99),41.966148,0.0609673342664991,0.0117339488788468,0.0491988487318222,0.0394570746044697,-0.0117684855346769,0.0428674178741257,0.783675679753344
