estimator,beta,se,ci_low,ci_high,notes
Standard cluster SE,0.121273545660074,0.00790587756265258,0.105778025637275,0.136769065682873,fixest cluster SE
Wild cluster bootstrap,0.121273545660074,0.00795689898724412,0.107575994833016,0.134368086784142,"WCB B=499, 22 clusters"
