proxy,q_var,status,N,B,grid_n,gamma_star,observed_sup_wald,bootstrap_p,bootstrap_mean,bootstrap_p50,bootstrap_p90,bootstrap_p95,defensibility,note
"D1: EBS school-age teachers per 1,000 students",ebs_teachers_per_1000_school_age,ok,5170,999,46,41.261687,145.5293625671,0.001,7.79983197626555,7.08164746469022,12.8314818783343,14.6294458935086,Best theory,Headline school-supply threshold.
D3: EBS school-age student-teacher ratio,ebs_student_teacher_ratio_school_age,ok,5170,999,47,24.105503,139.934685713769,0.001,7.66992354025579,6.98120752035492,12.2820467384772,14.5948437562669,Strong theory,School-age class-size/school-quality threshold.
D5: EBS age-12 student-teacher ratio,ebs_student_teacher_ratio_age12,ok,3701,999,45,23.625731,71.734734646065,0.001,7.3988303537708,6.60418249047091,12.3111505588352,13.832684832623,Strong but smaller N,Exact age-12 school-quality threshold; smaller young-cohort sample.
C3: 2008 reform cohort dummy (effectively binary; born >= 1991),reform2008_exp,ok,11924,999,2,0,118.968851838526,0.001,3.27304921722167,2.49303140012799,6.84191106182656,8.51257464216217,Exogenous binary cohort indicator,"Single trim-feasible cut at gamma=0; cohort-difference test, not continuous CH threshold."
G1: log distance to UB,log_dist_ub,ok,11924,999,17,6.50876913697168,46.9435202551202,0.001,5.7730344950487,4.94690440004193,10.3739275393396,12.1228030208545,Geographic diagnostic,"Predetermined remoteness, but may directly affect wages."
B1: birth-aimag prior-cohort mean education,aimag_prior_mean,ok,11881,999,50,11.237179,16.5767800672264,0.029,7.68528288436969,6.93630352641609,12.5827228509367,14.5914352660049,Diagnostic only,"Prior regional education environment, but constructed from HSES outcomes."
